 Complex refractive index= 1.300E+00 2.000E-03
 radius= 1.1086E-01 lambda= 2.1414E+05 x= 3.2528E-06

Qext=  1.4907E-08 Qsca=  1.0437E-23 Qabs=  1.4907E-08 <cos>= -0.0000E+00
                 Qbk =  1.2460E-24
  theta       S11           POL           S33           S34
  24.41   3.78408E-35   9.34501E-02   3.76752E-35   0.00000E+00
  24.50   3.78164E-35   9.41594E-02   3.76483E-35   0.00000E+00
  24.59   3.77918E-35   9.48715E-02   3.76213E-35   0.00000E+00
  24.68   3.77672E-35   9.55865E-02   3.75943E-35   0.00000E+00
  24.77   3.77425E-35   9.63043E-02   3.75671E-35   0.00000E+00
  24.86   3.77178E-35   9.70251E-02   3.75398E-35   0.00000E+00
  24.95   3.76929E-35   9.77488E-02   3.75124E-35   0.00000E+00
  25.05   3.76681E-35   9.84752E-02   3.74850E-35   0.00000E+00
  25.14   3.76431E-35   9.92046E-02   3.74574E-35   0.00000E+00
  25.23   3.76181E-35   9.99368E-02   3.74298E-35   0.00000E+00
  25.32   3.75930E-35   1.00672E-01   3.74020E-35   0.00000E+00
  25.41   3.75679E-35   1.01410E-01   3.73742E-35   0.00000E+00
  25.50   3.75427E-35   1.02151E-01   3.73463E-35   0.00000E+00
  25.59   3.75174E-35   1.02895E-01   3.73183E-35   0.00000E+00
  25.68   3.74921E-35   1.03641E-01   3.72902E-35   0.00000E+00
  25.77   3.74667E-35   1.04391E-01   3.72620E-35   0.00000E+00
  25.86   3.74412E-35   1.05143E-01   3.72337E-35   0.00000E+00
  25.95   3.74157E-35   1.05899E-01   3.72053E-35   0.00000E+00
  26.04   3.73901E-35   1.06657E-01   3.71768E-35   0.00000E+00
  26.13   3.73645E-35   1.07418E-01   3.71483E-35   0.00000E+00
  26.22   3.73388E-35   1.08182E-01   3.71196E-35   0.00000E+00
  26.31   3.73130E-35   1.08949E-01   3.70909E-35   0.00000E+00
  26.40   3.72871E-35   1.09719E-01   3.70620E-35   0.00000E+00
  26.49   3.72612E-35   1.10492E-01   3.70331E-35   0.00000E+00
  26.58   3.72353E-35   1.11268E-01   3.70041E-35   0.00000E+00
  26.67   3.72093E-35   1.12046E-01   3.69750E-35   0.00000E+00
  26.76   3.71832E-35   1.12828E-01   3.69458E-35   0.00000E+00
  26.85   3.71570E-35   1.13612E-01   3.69164E-35   0.00000E+00
  26.94   3.71308E-35   1.14400E-01   3.68871E-35   0.00000E+00
  27.03   3.71046E-35   1.15190E-01   3.68576E-35   0.00000E+00
  27.12   3.70782E-35   1.15983E-01   3.68280E-35   0.00000E+00
  27.21   3.70519E-35   1.16780E-01   3.67983E-35   0.00000E+00
  27.30   3.70254E-35   1.17579E-01   3.67686E-35   0.00000E+00
  27.39   3.69989E-35   1.18381E-01   3.67387E-35   0.00000E+00
  27.48   3.69724E-35   1.19186E-01   3.67088E-35   0.00000E+00
  27.57   3.69457E-35   1.19994E-01   3.66788E-35   0.00000E+00
  27.66   3.69191E-35   1.20805E-01   3.66487E-35   0.00000E+00
  27.75   3.68923E-35   1.21618E-01   3.66185E-35   0.00000E+00
  27.84   3.68655E-35   1.22435E-01   3.65882E-35   0.00000E+00
  27.93   3.68387E-35   1.23255E-01   3.65578E-35   0.00000E+00
  28.02   3.68118E-35   1.24078E-01   3.65273E-35   0.00000E+00
  28.11   3.67848E-35   1.24903E-01   3.64967E-35   0.00000E+00
  28.20   3.67578E-35   1.25732E-01   3.64661E-35   0.00000E+00
  28.29   3.67307E-35   1.26563E-01   3.64353E-35   0.00000E+00
  28.38   3.67036E-35   1.27398E-01   3.64045E-35   0.00000E+00
  28.47   3.66764E-35   1.28235E-01   3.63736E-35   0.00000E+00
  28.56   3.66491E-35   1.29076E-01   3.63425E-35   0.00000E+00
  28.65   3.66218E-35   1.29919E-01   3.63114E-35   0.00000E+00
  28.74   3.65945E-35   1.30766E-01   3.62802E-35   0.00000E+00
  28.83   3.65671E-35   1.31615E-01   3.62490E-35   0.00000E+00
  28.92   3.65396E-35   1.32467E-01   3.62176E-35   0.00000E+00
  29.01   3.65121E-35   1.33323E-01   3.61861E-35   0.00000E+00
  29.10   3.64845E-35   1.34181E-01   3.61545E-35   0.00000E+00
  29.19   3.64568E-35   1.35042E-01   3.61229E-35   0.00000E+00
  29.28   3.64292E-35   1.35906E-01   3.60912E-35   0.00000E+00
  29.37   3.64014E-35   1.36773E-01   3.60593E-35   0.00000E+00
  29.46   3.63736E-35   1.37643E-01   3.60274E-35   0.00000E+00
  29.55   3.63458E-35   1.38517E-01   3.59954E-35   0.00000E+00
  29.64   3.63179E-35   1.39393E-01   3.59633E-35   0.00000E+00
  29.73   3.62900E-35   1.40272E-01   3.59312E-35   0.00000E+00
  29.82   3.62620E-35   1.41154E-01   3.58989E-35   0.00000E+00
  29.91   3.62339E-35   1.42039E-01   3.58665E-35   0.00000E+00
  30.00   3.62058E-35   1.42927E-01   3.58341E-35   0.00000E+00
  30.09   3.61776E-35   1.43819E-01   3.58015E-35   0.00000E+00
  30.18   3.61494E-35   1.44713E-01   3.57689E-35   0.00000E+00
  30.27   3.61212E-35   1.45610E-01   3.57362E-35   0.00000E+00
  30.36   3.60929E-35   1.46510E-01   3.57034E-35   0.00000E+00
